ID,Model,ModelParameters,TransformationParameters,Ensemble
0080ca23096e1df1987a064f0c924df2,ETS,"{""damped_trend"": false, ""trend"": null, ""seasonal"": null, ""seasonal_periods"": null}","{""fillna"": ""quadratic"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""KalmanSmoothing"", ""3"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""model_name"": ""dynamic linear"", ""state_transition"": [[1, 1, 0, 0], [0, 1, 0, 0], [0, 0, 1.1, 1], [0, 0, 0.3, 0]], ""process_noise"": [[0.6, 0, 0, 0], [0, 1.5, 0, 0], [0, 0, 0.9, 0], [0, 0, 0, 0]], ""observation_model"": [[1, 0, 1, 0]], ""observation_noise"": 0.25, ""em_iter"": 10}, ""3"": {}}}",0
01078857200fdb75820c67277930e382,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""best_score_unique"", ""models"": {""2a3199f94646448c27f41ff3c7b156a5"": {""Model"": ""MAR"", ""ModelParameters"": ""{\""seasonality\"": 7, \""family\"": \""gaussian\"", \""maxiter\"": 200}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""PCA\"", \""2\"": \""FFTDecomposition\"", \""3\"": \""Slice\"", \""4\"": \""RollingMean100thN\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""n_harmonics\"": \""mid20\"", \""detrend\"": null}, \""3\"": {\""method\"": 0.5}, \""4\"": {}}}""}, ""a92c732947e319eb451228968b134959"": {""Model"": ""SeasonalityMotif"", ""ModelParameters"": ""{\""window\"": 5, \""point_method\"": \""weighted_mean\"", \""distance_metric\"": \""mae\"", \""k\"": 15, \""datepart_method\"": \""simple_2\""}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""PCA\"", \""2\"": \""FFTDecomposition\"", \""3\"": \""Slice\"", \""4\"": \""SeasonalDifference\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""n_harmonics\"": \""mid20\"", \""detrend\"": null}, \""3\"": {\""method\"": 0.5}, \""4\"": {\""lag_1\"": 96, \""method\"": \""LastValue\""}}}""}, ""f522f9f763d836b73821e684996139a2"": {""Model"": ""SectionalMotif"", ""ModelParameters"": ""{\""window\"": 10, \""point_method\"": \""midhinge\"", \""distance_metric\"": \""nan_euclidean\"", \""include_differenced\"": false, \""k\"": 10, \""stride_size\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""PCA\"", \""2\"": \""FFTDecomposition\"", \""3\"": \""Slice\"", \""4\"": \""RollingMean100thN\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""n_harmonics\"": \""mid20\"", \""detrend\"": null}, \""3\"": {\""method\"": 0.5}, \""4\"": {}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}",{},1
05292a950edffcda058aff1aed583acf,ETS,"{""damped_trend"": false, ""trend"": null, ""seasonal"": null, ""seasonal_periods"": null}","{""fillna"": ""pchip"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {""lag_1"": 364, ""method"": ""LastValue""}}}",0
078eeec3018977892bebd7a7ba4ea7b4,GLM,"{""family"": ""Binomial"", ""constant"": false, ""regression_type"": ""datepart""}","{""fillna"": ""akima"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""PCA"", ""2"": ""bkfilter"", ""3"": ""LevelShiftTransformer""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3.5, ""fillna"": null}, ""1"": {""whiten"": false}, ""2"": {}, ""3"": {""window_size"": 90, ""alpha"": 2.5, ""grouping_forward_limit"": 2, ""max_level_shifts"": 30, ""alignment"": ""rolling_diff""}}}",0
0c8a81f06439fd5ed13c6bbaa6904c50,FFT,"{""n_harmonics"": 100, ""detrend"": ""linear""}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""PCA"", ""2"": ""RollingMean100thN"", ""3"": ""Slice"", ""4"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 5, ""fillna"": null}, ""1"": {""whiten"": false}, ""2"": {}, ""3"": {""method"": 0.5}, ""4"": {}}}",0
0e271a9e5ca89102124724448b59433d,KalmanStateSpace,"{""model_name"": ""local_linear_trend_ets_aan"", ""state_transition"": [[1, 1], [0, 1]], ""process_noise"": [[0.0, 0.0], [0.0, 0.0]], ""observation_model"": [[1, 0]], ""observation_noise"": 0.5}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}}}",0
0f7a44fdae6cfccb308198679763633e,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 7, ""lag_2"": 1}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {}}}",0
0fcf40716749c647e2b214aa0f365250,RRVAR,"{""method"": ""dmd"", ""rank"": 4, ""maxiter"": 200}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""Slice""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""method"": 0.5}}}",0
123bdec713623e8044072374fc6ede19,RRVAR,"{""method"": ""dmd"", ""rank"": 1, ""maxiter"": 200}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""RegressionFilter"", ""1"": ""PCA"", ""2"": ""Slice""}, ""transformation_params"": {""0"": {""sigma"": 1, ""rolling_window"": 90, ""run_order"": ""season_first"", ""regression_params"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {}}, ""datepart_method"": ""common_fourier"", ""polynomial_degree"": null, ""transform_dict"": null, ""holiday_countries_used"": false}, ""holiday_params"": null}, ""1"": {""whiten"": false}, ""2"": {""method"": 0.5}}}",0
13c112d4e8822c29d2e527a0e6047fb6,AverageValueNaive,"{""method"": ""Weighted_Mean"", ""window"": null}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""SeasonalDifference"", ""1"": ""PCA"", ""2"": ""Slice"", ""3"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {""lag_1"": 28, ""method"": ""Mean""}, ""1"": {""whiten"": false}, ""2"": {""method"": 0.5}, ""3"": {}}}",0
