ID,Model,ModelParameters,TransformationParameters,Ensemble
921d0cd79d301cb7bf8bfbb6270fe85a,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""mixed_metric"", ""models"": {""0985c1beaf0813c6da57f93c83d732b0"": {""Model"": ""ETS"", ""ModelParameters"": ""{\""damped_trend\"": false, \""trend\"": null, \""seasonal\"": null, \""seasonal_periods\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""PCA\"", \""2\"": \""SeasonalDifference\"", \""3\"": \""Slice\"", \""4\"": \""RollingMean100thN\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""lag_1\"": 12, \""method\"": \""LastValue\""}, \""3\"": {\""method\"": 0.5}, \""4\"": {}}}""}, ""0d6f6cc3b28efd23161cb25f90647ddd"": {""Model"": ""SeasonalityMotif"", ""ModelParameters"": ""{\""window\"": 10, \""point_method\"": \""mean\"", \""distance_metric\"": \""mse\"", \""k\"": 100, \""datepart_method\"": \""recurring\""}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""PowerTransformer\"", \""1\"": \""PCA\"", \""2\"": \""ScipyFilter\"", \""3\"": \""STLFilter\"", \""4\"": \""RollingMean100thN\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""method\"": \""savgol_filter\"", \""method_args\"": {\""window_length\"": 7, \""polyorder\"": 1, \""deriv\"": 1, \""mode\"": \""nearest\""}}, \""3\"": {\""decomp_type\"": \""seasonal_decompose\"", \""part\"": \""trend\""}, \""4\"": {}}}""}, ""0fe5f16bfe1712eb39f96ff1feeed88e"": {""Model"": ""MetricMotif"", ""ModelParameters"": ""{\""window\"": 7, \""point_method\"": \""weighted_mean\"", \""distance_metric\"": \""mse\"", \""k\"": 3, \""comparison_transformation\"": {\""fillna\"": \""rolling_mean_24\"", \""transformations\"": {\""0\"": \""MinMaxScaler\""}, \""transformation_params\"": {\""0\"": {}}}, \""combination_transformation\"": {\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": null}, \""transformation_params\"": {\""0\"": {}}}}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""PCA\"", \""2\"": \""FFTDecomposition\"", \""3\"": \""QuantileTransformer\"", \""4\"": \""RollingMean100thN\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""n_harmonics\"": \""mid20\"", \""detrend\"": null}, \""3\"": {\""output_distribution\"": \""uniform\"", \""n_quantiles\"": 20}, \""4\"": {}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}",{},1
52c904b1aacdf09c0a492e7049d75b1e,LastValueNaive,{},"{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""PCA""}, ""transformation_params"": {""0"": {""whiten"": false}}}",0
d239e94a95869e4f15bc3941dbe9cbd4,MetricMotif,"{""window"": 10, ""point_method"": ""mean"", ""distance_metric"": ""mse"", ""k"": 1, ""comparison_transformation"": {""fillna"": ""linear"", ""transformations"": {""0"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}, ""combination_transformation"": {""fillna"": ""zero"", ""transformations"": {""0"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": 10, ""transform_dict"": null}}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Slice"", ""1"": ""PCA""}, ""transformation_params"": {""0"": {""method"": 0.5}, ""1"": {""whiten"": false}}}",0
a320302639d0dfbd53fddf148cf9bca7,LastValueNaive,{},"{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""RobustScaler"", ""1"": ""PCA""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}}}",0
ad17245f10c118e07e9ad251be40f099,SeasonalityMotif,"{""window"": 10, ""point_method"": ""weighted_mean"", ""distance_metric"": ""canberra"", ""k"": 1, ""datepart_method"": ""common_fourier""}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}}}",0
a6d5a404bbcab6d73ad1a8e676221dea,SectionalMotif,"{""window"": 10, ""point_method"": ""weighted_mean"", ""distance_metric"": ""chebyshev"", ""include_differenced"": true, ""k"": 1, ""stride_size"": 1, ""regression_type"": null}","{""fillna"": ""zero"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""PositiveShift"", ""3"": ""AlignLastValue""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {}, ""3"": {""rows"": 1, ""lag"": 1, ""method"": ""multiplicative"", ""strength"": 0.2, ""first_value_only"": false}}}",0
be31b84df7b007c7264fc9175c69c2b8,AverageValueNaive,"{""method"": ""Median"", ""window"": null}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""Discretize"", ""1"": ""PCA"", ""2"": ""Detrend"", ""3"": ""DifferencedTransformer"", ""4"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {""discretization"": ""upper"", ""n_bins"": 50}, ""1"": {""whiten"": false}, ""2"": {""model"": ""GLS""}, ""3"": {}, ""4"": {""lag_1"": 4, ""method"": ""Mean""}}}",0
960c6692e596a004bde76ce2da11d514,AverageValueNaive,"{""method"": ""Midhinge"", ""window"": null}","{""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""Discretize"", ""1"": ""PCA"", ""2"": ""Detrend"", ""3"": ""DifferencedTransformer"", ""4"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {""discretization"": ""upper"", ""n_bins"": 50}, ""1"": {""whiten"": false}, ""2"": {""model"": ""GLS""}, ""3"": {}, ""4"": {""lag_1"": 4, ""method"": ""Mean""}}}",0
b50a96d18661b5b6b943faf550d9f4a0,AverageValueNaive,"{""method"": ""Midhinge"", ""window"": null}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""SeasonalDifference"", ""1"": ""PCA"", ""2"": ""Detrend"", ""3"": ""DifferencedTransformer"", ""4"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {""lag_1"": 7, ""method"": ""Mean""}, ""1"": {""whiten"": false}, ""2"": {""model"": ""GLS""}, ""3"": {}, ""4"": {""lag_1"": 4, ""method"": ""Mean""}}}",0
a7dc0f6ea96b1e112e128601051ed733,LastValueNaive,{},"{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""Slice""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {""method"": 0.5}}}",0
